ip,up,upt,dn,dnt
85.108,43,1375472910.60,101,1375472910.60
91.76,43,1375472910.60,53,1375472910.60
177.207,43,1375472910.60,53,1375472913.61
95.28,43,1375472910.60,101,1375472910.60
182.237,59,1375474098.48,0,-1
80.219,409,1375474209.101,7913,1375474209.101
190.93,3508,1375474122.284,38432,1375473021.79
93.148,43,1375472910.60,101,1375472910.60
201.68,43,1375472910.60,0,-1
69.140,43,1375472910.60,0,-1
174.143,2497,1375473456.408,23635,1375474710.1858
64.2,546,1375472913.61,657,1375473726.48
2.221,43,1375472913.61,101,1375472913.61
70.67,43,1375472913.61,105,1375472913.61
78.225,43,1375472913.61,101,1375472913.61
92.28,43,1375472913.61,105,1375472913.61
91.182,43,1375472913.61,105,1375472913.61
115.40,43,1375472913.61,98,1375472913.61
187.114,43,1375472913.61,101,1375472913.61
62.221,43,1375472913.61,0,-1
77.227,43,1375472913.61,0,-1
85.107,43,1375472913.61,101,1375472913.61
202.179,1621,1375473600.3442,9134,1375474875.63
124.13,59,1375472913.61,98,1375475157.336
77.85,43,1375472913.61,105,1375472913.61
82.242,43,1375472913.61,0,-1
50.116,12508,1375473120.13,205500,1375473120.13
37.215,43,1375472913.61,0,-1
200.6,15257,1375472925.31,142260,1375472919.777
37.204,43,1375472913.61,101,1375472913.61
65.164,43,1375472913.61,101,1375472913.61
87.156,43,1375472913.61,0,-1
95.52,43,1375472913.61,0,-1
169.229,25,1375472913.61,25,1375472913.61
209.104,1157,1375472913.61,3611,1375472913.61
217.10,5847,1375474089.34,266679,1375474089.34
93.136,43,1375472913.61,0,-1
99.251,43,1375472913.61,101,1375472913.61
123.121,43,1375472913.61,0,-1
82.240,43,1375472913.61,0,-1
132.245,11387,1375475100.162,91164,1375474143.5
81.255,190,1375472916.359,179,1375472916.359
207.32,25,1375472916.359,25,1375472916.359
17.167,40152,1375474200.73,31272,1375473441.1426
216.34,9694,1375475316.13,79183,1375475052.291
5.165,43,1375472916.359,105,1375472916.359
95.57,43,1375472916.359,0,-1
69.147,2566,1375473831.972,7466,1375473831.972
145.236,43,1375472916.359,53,1375472916.359
192.30,1598,1375472919.777,9056,1375474071.2888
74.217,3896,1375475277.1549,4984,1375474992.450
89.179,43,1375472916.359,105,1375475148.639
37.75,43,1375472916.359,101,1375472916.359
187.56,43,1375472916.359,101,1375472916.359
178.91,43,1375472916.359,101,1375472916.359
173.60,43,1375472916.359,0,-1
83.228,43,1375472916.359,101,1375472916.359
134.121,25,1375472916.359,25,1375472916.359
211.216,43,1375472916.359,0,-1
79.129,43,1375472916.359,0,-1
85.155,43,1375472916.359,105,1375472916.359
189.35,43,1375472916.359,0,-1
37.76,43,1375472916.359,101,1375472919.777
46.255,564,1375474524.94,1987,1375475322.1119
91.190,188954,1375475238.24,4022,1375475217.260
129.33,2984,1375473924.118,21862,1375473924.118
216.57,43,1375472919.777,105,1375472919.777
84.229,1920,1375475343.370,98029,1375475340.60
121.169,43,1375472919.777,98,1375472919.777
113.142,43,1375472919.777,101,1375472919.777
92.85,43,1375472919.777,105,1375472919.777
78.122,43,1375472919.777,105,1375472919.777
37.229,43,1375472919.777,101,1375472919.777
178.148,43,1375472919.777,0,-1
92.47,43,1375472919.777,0,-1
2.111,43,1375472919.777,0,-1
69.25,2654,1375473027.650,20832,1375474554.810
17.134,4578,1375474251.2753,55010,1375475019.220
24.135,43,1375472919.777,0,-1
178.67,43,1375472919.777,105,1375472919.777
122.135,43,1375472919.777,105,1375472919.777
66.66,43,1375472919.777,105,1375472934.276
212.73,43,1375472919.777,101,1375472922.88
178.45,43,1375472919.777,0,-1
192.211,1743,1375474509.54,20121,1375474509.54
74.112,154344,1375472931.717,11447,1375472937.13
147.178,287,1375473108.1408,311,1375472922.88
8.26,27625,1375473735.169,744799,1375473735.169
168.63,40403,1375472976.247,77039,1375473654.614
75.33,64,1375472925.31,0,-1
94.229,43,1375472922.88,98,1375472922.88
92.255,43,1375472922.88,101,1375472922.88
66.87,43,1375472922.88,0,-1
2.95,43,1375472922.88,0,-1
46.151,43,1375472922.88,53,1375472922.88
91.180,43,1375472922.88,105,1375472922.88
124.185,43,1375472922.88,105,1375472922.88
114.134,814,1375473675.861,1306,1375475295.1430
93.124,43,1375472922.88,105,1375472922.88
80.234,43,1375472922.88,101,1375472922.88
178.92,43,1375472922.88,0,-1
